realTimestamp,timestamp,type,itemId,participantId,creatorId,wardType,levelUpType,skillSlot,level,assistingParticipantIds,bounty,killStreakLength,killerId,position,shutdownBounty,victimDamageReceived,victimId,killType,victimDamageDealt,afterId,beforeId,goldGain,killerTeamId,monsterType,laneType,teamId,monsterSubType,buildingType,towerType,multiKillLength,gameId,winningTeam
1730786662881.0,0,PAUSE_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2583,ITEM_PURCHASED,1055.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2583,ITEM_PURCHASED,2003.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3418,ITEM_PURCHASED,3865.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3418,ITEM_PURCHASED,2003.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3418,ITEM_PURCHASED,2003.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3418,ITEM_PURCHASED,1103.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4554,ITEM_PURCHASED,3340.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4788,ITEM_PURCHASED,3070.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4788,ITEM_PURCHASED,2003.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4788,ITEM_PURCHASED,2003.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5756,ITEM_PURCHASED,1102.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6558,ITEM_PURCHASED,2003.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6758,ITEM_PURCHASED,3340.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7827,ITEM_PURCHASED,1055.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8194,ITEM_PURCHASED,1055.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8194,ITEM_PURCHASED,2003.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8295,ITEM_PURCHASED,2003.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8328,ITEM_PURCHASED,3865.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8328,ITEM_PURCHASED,2003.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8328,ITEM_PURCHASED,2003.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8595,ITEM_PURCHASED,3340.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8896,ITEM_PURCHASED,3340.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19584,ITEM_PURCHASED,1055.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19584,ITEM_PURCHASED,2003.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20185,ITEM_PURCHASED,3340.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20419,ITEM_PURCHASED,1056.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20419,ITEM_PURCHASED,2003.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20419,ITEM_PURCHASED,2003.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20753,ITEM_PURCHASED,3340.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
