realTimestamp,timestamp,type,itemId,participantId,levelUpType,skillSlot,afterId,beforeId,goldGain,creatorId,wardType,assistingParticipantIds,bounty,killStreakLength,killerId,position,shutdownBounty,victimDamageDealt,victimDamageReceived,victimId,killType,level,killerTeamId,monsterSubType,monsterType,laneType,teamId,buildingType,towerType,multiKillLength,name,gameId,winningTeam
1732238255052.0,0,PAUSE_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4166,ITEM_PURCHASED,1055.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4166,ITEM_PURCHASED,2003.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4233,SKILL_LEVEL_UP,,7.0,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4333,SKILL_LEVEL_UP,,9.0,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4667,ITEM_PURCHASED,1056.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4667,ITEM_PURCHASED,2003.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4667,ITEM_PURCHASED,2003.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5602,ITEM_PURCHASED,2003.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5602,ITEM_PURCHASED,3340.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7406,ITEM_PURCHASED,1102.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7673,SKILL_LEVEL_UP,,1.0,NORMAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8308,ITEM_PURCHASED,3340.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8742,ITEM_PURCHASED,2003.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8809,SKILL_LEVEL_UP,,4.0,NORMAL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9176,ITEM_UNDO,,3.0,,,3340.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,9310,ITEM_PURCHASED,1054.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9343,ITEM_UNDO,,3.0,,,0.0,2003.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
,9477,ITEM_UNDO,,3.0,,,0.0,2003.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
,9544,ITEM_PURCHASED,2003.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9811,ITEM_UNDO,,3.0,,,0.0,1056.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,
,9811,ITEM_PURCHASED,3340.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10613,ITEM_PURCHASED,3070.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10613,ITEM_PURCHASED,2003.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10613,ITEM_PURCHASED,2003.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10713,ITEM_UNDO,,1.0,,,3340.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,10746,ITEM_UNDO,,9.0,,,0.0,2003.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
,10780,ITEM_PURCHASED,3865.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10880,ITEM_UNDO,,1.0,,,0.0,2003.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
,11047,ITEM_UNDO,,1.0,,,0.0,1054.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,
,11281,ITEM_PURCHASED,1055.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11281,ITEM_PURCHASED,2003.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11615,ITEM_PURCHASED,2003.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11748,ITEM_PURCHASED,2003.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11782,ITEM_PURCHASED,1056.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11782,ITEM_PURCHASED,2003.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11782,ITEM_PURCHASED,2003.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11782,SKILL_LEVEL_UP,,2.0,NORMAL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11782,ITEM_PURCHASED,3865.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11782,ITEM_PURCHASED,2003.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
